"phenx","icd10_desc","combo","organ","subcombo"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc displacement at C6-C7 level","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other specified deforming dorsopathies, thoracic region","Spine disc or myelopathy","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Other specified dorsopathies, site unspecified","MSK s/s","MSK","Pain"
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal instabilities, thoracic region","Spine instability","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, lumbar region with neurogenic claudication","Spinal stenosis","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, lumbar region without neurogenic claudication","Spinal stenosis","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolysis, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylopathy in diseases classified elsewhere, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Diabetes mellitus; nerve","Other specified diabetes mellitus with diabetic neuropathy, unspecified","Diabetic neuropathy","Neurology",NA
"Headache; including migraine","Chronic paroxysmal hemicrania, intractable","Headache","Neurology",NA
"Headache; including migraine","Chronic post-traumatic headache, intractable","Headache","Neurology",NA
"Headache; including migraine","Chronic tension-type headache, intractable","Headache","Neurology",NA
"Headache; including migraine","Cluster headache syndrome, unspecified, intractable","Headache","Neurology",NA
"Headache; including migraine","Hemicrania continua","Headache","Neurology",NA
"Headache; including migraine","Menstrual migraine, intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Migraine without aura, intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Migraine, unspecified, intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Ophthalmoplegic migraine, intractable","Headache","Neurology","Migraine"
"Headache; including migraine","Other migraine, intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Other migraine, not intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Persistent migraine aura without cerebral infarction, intractable, without status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus","Headache","Neurology","Migraine"
"Headache; including migraine","Primary cough headache","Headache","Neurology",NA
"Headache; including migraine","Primary stabbing headache","Headache","Neurology",NA
"Headache; including migraine","Primary thunderclap headache","Headache","Neurology",NA
"Nervous system pain and pain syndromes","Acute post-thoracotomy pain","Pain syndrome","Neurology",NA
"Nervous system pain and pain syndromes","Chronic post-thoracotomy pain","Pain syndrome","Neurology",NA
"Nervous system signs and symptoms","Borderline intellectual functioning","Nervous system s/s","Neurology","Abnormal Cognition"
"Nervous system signs and symptoms","Other symbolic dysfunctions","Nervous system s/s","Neurology","Abnormal Cognition"
"Nervous system signs and symptoms","Unspecified lack of coordination","Nervous system s/s","Neurology","Abnormal Gait"
"Other nervous system disorders","(Idiopathic) normal pressure hydrocephalus","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Autonomic dysreflexia","Nervous System Disorders","Neurology","Autonomia"
"Other nervous system disorders","Hereditary ataxia, unspecified","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Hereditary spastic paraplegia","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other chorea","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other dystonia","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other motor neuron disease","Nervous System Disorders","Neurology",NA
